하아, 76, 181
하파, 40, 147
자나, 65, 184
마다, 43, 188
타타, 77, 144
하다, 73, 180
가사, 70, 184
가자, 73, 172
마하, 40, 158
바타, 68, 142
아카, 63, 190
파타, 95, 164
카차, 69, 199
바사, 81, 181
하아, 98, 199
바바, 78, 197
아카, 49, 166
자차, 95, 183
가다, 75, 170
카사, 73, 175
나타, 70, 159
타아, 96, 188
타바, 97, 161
하다, 51, 140
사사, 43, 181
바카, 81, 168
라타, 60, 183
사타, 76, 144
아바, 78, 187
가사, 41, 163
아나, 74, 148
파타, 49, 147
타타, 46, 194
타하, 94, 168
가타, 56, 179
하라, 46, 150
차카, 68, 144
자바, 82, 172
자라, 50, 192
하아, 95, 178
차아, 73, 167
가카, 72, 184
타아, 91, 146
타하, 80, 169
하하, 74, 174
아사, 52, 193
바자, 48, 150
아타, 61, 193
사나, 65, 151
바바, 73, 194
사카, 51, 183
파마, 98, 197
아마, 71, 184
카다, 57, 199
사사, 78, 176
나가, 45, 150
다다, 55, 180
가카, 98, 166
사차, 90, 165
바나, 96, 151
사라, 67, 193
나사, 59, 179
라사, 41, 189
하아, 75, 180
카마, 95, 168
다바, 97, 165
다차, 95, 164
바차, 55, 180
자다, 68, 190
하하, 63, 177
타차, 41, 163
다파, 77, 179
라사, 77, 170
자하, 93, 170
하하, 54, 163
나차, 42, 182
나나, 76, 142
하자, 83, 169
나나, 49, 144
타바, 47, 152
다아, 43, 164
마바, 73, 178
라사, 80, 146
차자, 89, 147
마마, 48, 162
파마, 98, 153
다라, 70, 194
파마, 92, 194
카하, 99, 148
다나, 82, 185
자가, 59, 158
하가, 87, 161
나차, 73, 158
가사, 73, 145
마카, 98, 191
라가, 98, 146
타다, 72, 158
가라, 59, 159
파타, 42, 143
사타, 65, 160
마다, 78, 184
카사, 83, 185
파파, 74, 187
마마, 94, 155
사카, 41, 189
라사, 68, 148
아카, 71, 194
파가, 48, 187
바가, 61, 170
차라, 69, 146
다마, 41, 168
바아, 98, 178
가자, 69, 169
라파, 76, 164
타타, 91, 162
자카, 89, 163
자가, 62, 167
파아, 68, 157
하마, 93, 162
가사, 42, 187
하사, 86, 188
파자, 71, 179
파마, 41, 171
마다, 41, 194
파다, 80, 161
하아, 78, 197
다마, 41, 181
파다, 94, 190
아다, 77, 172
마라, 68, 146
자가, 95, 192
하차, 75, 170
나마, 74, 151
바카, 71, 174
카바, 58, 151
파마, 74, 177
가나, 46, 186
카자, 86, 164
하마, 71, 141
카사, 92, 196
타하, 47, 146
라다, 63, 186
나하, 66, 150
차자, 60, 184
가아, 88, 162
바가, 44, 171
자카, 77, 172
나바, 72, 173
하아, 85, 157
라다, 87, 171
카차, 52, 193
다마, 87, 157
파아, 90, 160
바사, 74, 188
라타, 75, 144
파카, 59, 190
파차, 69, 161
나차, 71, 151
타자, 71, 183
카자, 95, 194
라나, 65, 145
다하, 93, 158
자바, 93, 183
바바, 77, 146
자마, 91, 198
타다, 56, 158
차차, 59, 166
아파, 61, 151
타하, 83, 157
나사, 92, 181
하아, 43, 192
카다, 46, 155
사바, 79, 197
타나, 57, 158
바라, 44, 182
나다, 58, 198
하자, 99, 183
다바, 56, 194
하자, 69, 199
아사, 74, 193
가차, 80, 190
카마, 61, 148
카바, 77, 147
파라, 69, 183
하라, 90, 191
마다, 85, 151
자마, 52, 172
다바, 79, 198
나카, 98, 182
자라, 94, 161
라라, 44, 168
아타, 94, 184
타바, 65, 161
자바, 95, 143
아라, 91, 164
카나, 80, 149
하다, 63, 157
라차, 47, 185
라하, 91, 144
다다, 88, 197
카타, 78, 152
하차, 55, 180
타가, 79, 189
하사, 53, 168
라카, 40, 140
사가, 81, 175
카하, 58, 146
차차, 68, 173
차타, 99, 192
마아, 40, 158
나카, 95, 152
자아, 69, 161
마자, 45, 178
바아, 88, 172
마마, 88, 182
파다, 62, 198
다가, 91, 185
파다, 94, 178
라다, 75, 148
가카, 83, 180
마차, 42, 150
아가, 83, 173
타라, 57, 174
사사, 61, 145
다라, 80, 198
카타, 47, 151
가파, 61, 157
가나, 60, 198
차파, 63, 155
바다, 47, 149
마나, 75, 151
나파, 40, 153
차파, 95, 153
나바, 95, 140
하나, 54, 166
사사, 42, 175
차마, 87, 199
마파, 73, 157
자마, 62, 176
아라, 59, 188
나하, 80, 181
라바, 86, 196
아나, 45, 188
타아, 48, 147
다사, 70, 175
자차, 43, 191
자차, 82, 190
바파, 84, 144
하라, 91, 144
하카, 56, 166
바카, 53, 184
파나, 60, 192
타다, 49, 179
마나, 77, 182
나바, 93, 160
나사, 47, 186
타파, 64, 182
다자, 52, 153
사다, 47, 173
바가, 49, 182
나바, 68, 148
카타, 62, 196
가가, 98, 161
차마, 74, 194
파자, 58, 180
다사, 47, 175
사타, 62, 192
자사, 68, 177
바바, 89, 144
사자, 84, 181
라가, 43, 143
마가, 97, 175
카다, 49, 161
라하, 56, 146
바하, 94, 194
하가, 51, 162
마나, 74, 168
하아, 85, 192
가사, 89, 176
사타, 66, 192
차타, 50, 145
다다, 65, 175
라바, 48, 167
자파, 71, 197
차라, 40, 171
파하, 63, 178
라나, 52, 197
자가, 58, 151
카자, 75, 184
마자, 73, 167
가다, 86, 182
자가, 43, 162
마다, 52, 156
바바, 97, 163
아하, 68, 190
하파, 79, 198
라자, 57, 151
카차, 45, 166
아자, 44, 192
차파, 52, 154
차차, 62, 183
라하, 50, 173
자차, 70, 140
마바, 80, 154
파가, 73, 195
사나, 71, 160
타차, 86, 159
차파, 52, 194
나마, 67, 171
아카, 82, 191
아아, 49, 180
자나, 62, 183
마사, 60, 198
차차, 76, 146
나사, 49, 163
타차, 96, 141
파가, 50, 190
파차, 42, 196
사바, 68, 196
바다, 90, 146
자타, 95, 165
아사, 78, 165
라타, 64, 173
사가, 70, 179
자마, 60, 178
마하, 60, 157
자아, 87, 176
마파, 56, 185
나나, 85, 155
바차, 91, 156
하파, 74, 143
가다, 69, 179
타바, 72, 163
나카, 64, 182
하나, 94, 185
하차, 50, 169
카사, 63, 172
타다, 89, 192
파다, 89, 176
자나, 66, 151
카다, 85, 176
다가, 51, 192
자아, 88, 178
하가, 72, 144
자마, 62, 190
다카, 75, 173
마하, 72, 170
하라, 43, 142
라카, 49, 195
아자, 77, 155
라아, 64, 148
마나, 45, 160
바마, 69, 164
나차, 72, 141
자자, 44, 172
사마, 58, 177
라사, 74, 143
타가, 49, 149
자아, 58, 159
차나, 41, 175
나바, 85, 152
자다, 48, 194
자다, 54, 158
바파, 87, 191
나파, 97, 164
카파, 89, 185
아파, 90, 161
카마, 72, 145
카사, 87, 158
하카, 90, 194
타나, 58, 153
라나, 40, 176
아가, 67, 190
하바, 50, 150
마라, 78, 162
차타, 75, 150
라카, 85, 155
자파, 90, 195
다타, 42, 178
차아, 87, 171
마아, 54, 197
카자, 46, 158
아하, 91, 189
차다, 84, 168
라파, 44, 178
아나, 82, 152
바차, 97, 185
하카, 84, 186
카사, 69, 181
바카, 78, 143
마차, 62, 192
자하, 90, 158
라가, 81, 189
나하, 45, 191
바나, 89, 192
사하, 86, 144
파가, 42, 187
사하, 80, 155
나나, 58, 199
바다, 86, 173
라사, 63, 191
바다, 87, 175
다하, 41, 186
바가, 57, 156
라자, 45, 148
타사, 45, 152
라파, 45, 182
마사, 58, 185
나마, 58, 153
카다, 59, 163
카파, 57, 192
나차, 93, 153
라하, 47, 145
카가, 57, 199
자바, 64, 167
하바, 65, 166
차라, 64, 143
차가, 48, 177
차파, 72, 182
차바, 64, 180
하사, 77, 161
아차, 56, 155
다파, 63, 159
바차, 47, 173
자마, 44, 144
차카, 40, 190
하파, 96, 177
카사, 66, 181
바바, 62, 173
카파, 59, 157
카나, 68, 155
마자, 41, 176
다가, 73, 155
하차, 95, 147
자나, 85, 173
가다, 78, 164
라라, 80, 193
차다, 53, 188
바차, 93, 185
가차, 94, 144
아타, 80, 193
바나, 77, 178
파다, 69, 199
카가, 69, 149
바파, 56, 188
다마, 67, 190
타다, 77, 181
파아, 67, 182
차파, 83, 176
아하, 62, 183
차자, 99, 162
하자, 48, 160
바하, 51, 164
나바, 67, 153
자하, 53, 142
나마, 52, 189
아다, 63, 153
가바, 96, 179
라타, 49, 190
마사, 99, 183
가바, 80, 184
마하, 68, 160
아마, 44, 147
차가, 64, 147
다하, 90, 160
차카, 72, 189
다아, 61, 180
하하, 56, 144
하가, 45, 190
바바, 56, 164
라파, 92, 155
라카, 97, 179
마바, 49, 175
나카, 87, 163
카아, 51, 143
파나, 68, 192
가하, 57, 171
다다, 64, 167
아라, 60, 180
나가, 76, 181
자타, 57, 186
차가, 76, 164
가차, 77, 171
차사, 55, 196
바타, 82, 168
차바, 61, 147
사차, 98, 140
바차, 85, 162
타파, 81, 162
사차, 50, 190
하다, 74, 147
나하, 55, 167
나다, 42, 167
마바, 90, 197
아마, 74, 153
나나, 62, 158
마하, 44, 149
차하, 83, 142
아아, 95, 165
타타, 84, 158
가다, 99, 175
가하, 48, 159
가차, 82, 145
사아, 66, 170
차카, 64, 196
파라, 78, 195
차나, 46, 143
사다, 71, 196
가아, 43, 158
카사, 44, 155
바하, 91, 169
차자, 59, 183
차사, 71, 163
타사, 85, 158
아아, 61, 185
하나, 90, 154
나카, 50, 168
사다, 75, 152
나하, 55, 176
자자, 41, 170
하차, 69, 190
아파, 56, 176
차다, 78, 152
다사, 49, 157
카타, 58, 195
다라, 80, 184
마카, 57, 149
가마, 80, 166
가타, 76, 189
파타, 87, 141
가파, 73, 150
카마, 62, 155
카차, 52, 177
사가, 45, 199
사자, 95, 142
바자, 66, 176
타아, 54, 171
아마, 46, 155
라아, 77, 177
나가, 77, 140
마차, 65, 155
하마, 58, 197
바카, 54, 188
나파, 84, 171
카차, 79, 174
사자, 64, 187
다사, 65, 169
라라, 78, 172
가다, 95, 172
사하, 86, 157
카사, 47, 185
자파, 58, 154
차파, 52, 165
다차, 58, 170
바다, 77, 162
라사, 98, 163
아바, 66, 149
마라, 73, 175
사파, 76, 144
다차, 66, 155
마차, 63, 177
사파, 47, 176
라차, 92, 161
바카, 77, 197
차가, 98, 158
라사, 47, 190
나바, 95, 148
자아, 68, 182
바아, 92, 170
가라, 96, 179
라하, 98, 154
라아, 63, 174
